epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
96,7200.57,1.47841,1.01559,0.00848,0.9169,0.90037,0.95168,0.70543,1.21651,0.54655,0.00777,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,7272.96,1.48379,0.99451,0.00856,0.91939,0.8963,0.9509,0.70749,1.21197,0.54431,0.00762,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,7345.51,1.47058,0.96292,0.00861,0.91615,0.89689,0.95007,0.72002,1.20751,0.5489,0.00754,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,7418.6,1.48399,0.97193,0.00849,0.89841,0.89248,0.95136,0.70862,1.202,0.55765,0.00753,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,7489.19,1.4702,0.97194,0.00849,0.91922,0.89322,0.95204,0.70858,1.20432,0.55548,0.00751,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,7561.56,1.47849,0.96997,0.00847,0.92962,0.88629,0.95468,0.70955,1.21528,0.54952,0.00767,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,7634.7,1.46943,0.962,0.00841,0.92798,0.90284,0.95293,0.70035,1.21025,0.55425,0.00771,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,7707.58,1.47045,0.956,0.0085,0.93657,0.90415,0.95422,0.70919,1.20752,0.54796,0.00768,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,7779.98,1.48361,0.97397,0.00869,0.92925,0.91178,0.95424,0.70519,1.20764,0.5474,0.00764,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,7850.68,1.47412,0.97149,0.00845,0.93152,0.8984,0.95616,0.70517,1.20614,0.54268,0.0077,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,7922.83,1.46778,0.96863,0.00843,0.94168,0.88485,0.95535,0.69838,1.20991,0.53412,0.00772,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,7993.76,1.47521,0.98128,0.00856,0.94047,0.91057,0.954,0.70736,1.20759,0.53568,0.00775,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,8067.49,1.46973,0.97783,0.00845,0.93948,0.91596,0.95555,0.69665,1.21228,0.53772,0.00777,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,8139.72,1.46734,0.96755,0.00844,0.93807,0.91478,0.95665,0.69501,1.21019,0.53613,0.00782,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,8211.67,1.45655,0.93239,0.00825,0.92812,0.91945,0.9556,0.70303,1.21012,0.5369,0.00776,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,8284.18,1.44918,0.95558,0.00836,0.91424,0.92013,0.95443,0.7078,1.20494,0.53879,0.00772,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,8355.6,1.4621,0.97768,0.00832,0.91173,0.91854,0.95317,0.70529,1.20613,0.5433,0.0077,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,8428.88,1.4547,0.96548,0.00835,0.92737,0.91138,0.95536,0.71024,1.20384,0.53813,0.00769,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,8501.72,1.4524,0.95027,0.00836,0.91765,0.91777,0.95353,0.70679,1.19761,0.54653,0.00762,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,8572.11,1.44815,0.94672,0.00819,0.93234,0.91572,0.95713,0.7061,1.19891,0.53945,0.00757,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,8643.9,1.46007,0.94582,0.00819,0.93514,0.91951,0.95842,0.70398,1.19686,0.53619,0.00753,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,8715.36,1.45431,0.94179,0.00842,0.9289,0.90423,0.95811,0.70383,1.1971,0.52874,0.00755,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,8787.86,1.45125,0.94855,0.00828,0.9146,0.91096,0.9561,0.70354,1.19627,0.53469,0.00751,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,8860.32,1.44036,0.92442,0.00822,0.92889,0.89095,0.95528,0.70833,1.19841,0.53691,0.00749,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,8932.97,1.46119,0.93525,0.00847,0.93644,0.89035,0.9563,0.71005,1.19815,0.53433,0.00749,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,9004.17,1.43716,0.91256,0.00824,0.92983,0.91365,0.9571,0.70373,1.19877,0.53596,0.00753,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
